token,occurrences,total_weight_toward_negative,mean_weight_toward_negative
do a,2,-0.0127,-0.00637
really want,1,-0.0064,-0.00638
an image,1,-0.0064,-0.00641
? should i,1,-0.0065,-0.00651
and is,3,-0.0196,-0.00652
mainly,1,-0.0066,-0.00663
write a,1,-0.0066,-0.00664
right click,2,-0.0133,-0.00666
asp,1,-0.0067,-0.00673
alter,2,-0.0136,-0.00679
time in the,1,-0.0068,-0.00679
a lot,3,-0.0205,-0.00682
to know,3,-0.0205,-0.00682
at the beginning,1,-0.0068,-0.00684
methods and,1,-0.0069,-0.00688
why i,2,-0.0139,-0.00696
have not been,1,-0.007,-0.00702
a normal,1,-0.007,-0.00705
jsfiddle,1,-0.0071,-0.0071
of other,1,-0.0071,-0.0071
am looking for,1,-0.0071,-0.00713
a browser,1,-0.0071,-0.00713
i use,2,-0.0143,-0.00714
be worried about,1,-0.0071,-0.00715
as you,2,-0.0143,-0.00715
how do i,1,-0.0072,-0.00717
is you,1,-0.0072,-0.00725
frequently,1,-0.0073,-0.00726
if you want,1,-0.0073,-0.00727
i d really,1,-0.0073,-0.0073
d really,1,-0.0073,-0.0073
make the,1,-0.0074,-0.00744
seem to,3,-0.0224,-0.00747
then,12,-0.0907,-0.00755
that looks,1,-0.0077,-0.0077
did not,2,-0.0154,-0.00771
before,4,-0.0309,-0.00771
work for me,2,-0.0154,-0.00771
entire,2,-0.0155,-0.00773
a lot of,1,-0.0077,-0.00774
out,13,-0.1007,-0.00775
for an excellent,1,-0.0078,-0.00777
enumerable,1,-0.0078,-0.0078
what s,3,-0.0236,-0.00787
think your,1,-0.0079,-0.00794
i think your,1,-0.0079,-0.00794
indexing,1,-0.008,-0.00797
allows you to,1,-0.008,-0.008
so the,1,-0.008,-0.00804
this was a,1,-0.008,-0.00804
to handle,1,-0.0081,-0.0081
that into,1,-0.0081,-0.0081
the case,2,-0.0163,-0.00813
except when,1,-0.0083,-0.00825
be !,1,-0.0083,-0.00833
collapse,1,-0.0084,-0.00838
i know how,1,-0.0084,-0.00843
provided by,1,-0.0084,-0.00845
if so,1,-0.0085,-0.00847
the same as,1,-0.0086,-0.00858
same as,1,-0.0086,-0.00858
you have a,2,-0.0172,-0.00858
as follows,1,-0.0086,-0.0086
follows,1,-0.0086,-0.0086
in the case,1,-0.0086,-0.00863
the case of,1,-0.0086,-0.00863
example this,1,-0.0088,-0.00878
not know,1,-0.0088,-0.00878
it can,1,-0.0088,-0.00878
the third,1,-0.0089,-0.00885
during the,1,-0.009,-0.00901
you ll,2,-0.0181,-0.00905
is one,1,-0.0092,-0.00917
i should,1,-0.0092,-0.00921
unless,2,-0.0185,-0.00926
that !,1,-0.0093,-0.00927
ideas,1,-0.0094,-0.00937
base,1,-0.0095,-0.00949
while,4,-0.0382,-0.00956
there s a,1,-0.0096,-0.00957
experience with,1,-0.0096,-0.00958
tasks,1,-0.0096,-0.00958
i want to,5,-0.0482,-0.00965
and look,1,-0.0099,-0.00993
the context,1,-0.01,-0.00996
ways,1,-0.01,-0.00997
point to,1,-0.0101,-0.01007
spend,1,-0.0101,-0.01013
images to,1,-0.0102,-0.01018
class and,1,-0.0102,-0.01018
seem to use,1,-0.0102,-0.01018
cached,1,-0.0102,-0.01023
would it,1,-0.0103,-0.01027
of the app,1,-0.0104,-0.01041
important,1,-0.0104,-0.01041
find out,2,-0.0209,-0.01045
this code,2,-0.0213,-0.01063
virtual machine,1,-0.0107,-0.01065
benefits,2,-0.0214,-0.01068
write,6,-0.0643,-0.01072
have everything,1,-0.0107,-0.01074
just pass,1,-0.0108,-0.0108
should look,1,-0.0108,-0.01084
of a,5,-0.0545,-0.01091
to stop it,1,-0.0109,-0.01092
reasons,1,-0.011,-0.01095
mark it,1,-0.0109,-0.01095
per,1,-0.011,-0.01096
you edit,1,-0.011,-0.01101
to find out,1,-0.011,-0.01102
class,7,-0.0772,-0.01103
them in,1,-0.011,-0.01103
to make a,2,-0.0221,-0.01103
does it,2,-0.0222,-0.01108
would not,1,-0.0111,-0.0111
ascii,1,-0.0112,-0.01121
specifically for,1,-0.0113,-0.01129
web,8,-0.0904,-0.01129
what he,1,-0.0113,-0.01134
all browsers,1,-0.0114,-0.01138
issues,1,-0.0115,-0.01154
ll,3,-0.0348,-0.01161
though,5,-0.0582,-0.01163
this is a,2,-0.0233,-0.01164
see the,1,-0.0117,-0.01168
a desktop,1,-0.0117,-0.01173
somehow,1,-0.0118,-0.01176
call the,1,-0.0118,-0.01176
the framework,1,-0.0118,-0.01176
anywhere,1,-0.0118,-0.01182
an open,1,-0.0118,-0.01183
this is the,1,-0.0118,-0.01184
link to,1,-0.0119,-0.01191
bytes,3,-0.036,-0.01201
are two,1,-0.012,-0.01204
i ve seen,1,-0.0121,-0.01209
ve seen,1,-0.0121,-0.01209
them to,3,-0.0363,-0.01211
you tried,1,-0.0121,-0.01213
have you tried,1,-0.0121,-0.01213
it possible,2,-0.0243,-0.01214
is it possible,2,-0.0243,-0.01214
the query,1,-0.0122,-0.01215
but i want,1,-0.0122,-0.01225
it keeps,1,-0.0123,-0.01226
msbuild,1,-0.0123,-0.01227
there is an,1,-0.0123,-0.01233
the content,1,-0.0123,-0.01234
terminal,1,-0.0124,-0.01242
of the application,2,-0.0252,-0.0126
and if you,1,-0.0126,-0.01261
can use the,2,-0.0253,-0.01263
what makes,1,-0.0127,-0.0127
to control the,1,-0.0127,-0.01275
implement,2,-0.0256,-0.01279
there must be,1,-0.0128,-0.01284
there must,1,-0.0128,-0.01284
array,2,-0.0257,-0.01284
in our,1,-0.0129,-0.01287
is used,1,-0.0129,-0.01289
there,36,-0.4758,-0.01322
framework and,1,-0.0132,-0.01322
developer,2,-0.0265,-0.01324
just look,1,-0.0133,-0.01326
time in,1,-0.0136,-0.01358
help you,1,-0.0137,-0.0137
current,2,-0.0284,-0.01421
webservices,1,-0.0142,-0.01423
gcc,1,-0.0143,-0.01425
the java,1,-0.0143,-0.01426
and there,1,-0.0143,-0.01428
make sure the,1,-0.0143,-0.01433
do something similar,1,-0.0144,-0.01438
database for,1,-0.0144,-0.01439
i get the,1,-0.0144,-0.01441
the html,1,-0.0144,-0.01444
make,13,-0.1887,-0.01451
way that,1,-0.0146,-0.01461
s i,1,-0.0146,-0.01464
information,3,-0.044,-0.01466
to convert,1,-0.0147,-0.01469
processes,1,-0.0147,-0.01474
allow,2,-0.0296,-0.01478
? is,3,-0.0445,-0.01485
you can implement,1,-0.0149,-0.01486
can implement,1,-0.0149,-0.01486
for java,1,-0.0149,-0.01492
at a,1,-0.015,-0.01497
hosted,1,-0.015,-0.01497
start,4,-0.06,-0.015
website,2,-0.0302,-0.0151
do not see,3,-0.0453,-0.01511
but really,1,-0.0151,-0.01513
not go,1,-0.0152,-0.01517
could do,2,-0.0305,-0.01525
fields to,1,-0.0153,-0.01533
minimum,2,-0.0308,-0.01538
i ended,1,-0.0154,-0.0154
i ended up,1,-0.0154,-0.0154
importantly,1,-0.0154,-0.01543
here is the,1,-0.0154,-0.01545
beginning and,1,-0.0154,-0.01545
look for,1,-0.0155,-0.01551
of having,1,-0.0155,-0.01555
they are not,1,-0.0156,-0.01558
since,2,-0.0313,-0.01563
the site,1,-0.0156,-0.01564
the text,2,-0.0316,-0.0158
is why,1,-0.0158,-0.0158
edited my,1,-0.0158,-0.01583
to do the,1,-0.0159,-0.01593
a small,2,-0.032,-0.01598
pass in,1,-0.016,-0.01601
micro,1,-0.016,-0.01602
allows you,1,-0.0161,-0.01607
do not know,1,-0.0161,-0.01614
or the,1,-0.0162,-0.0162
the beginning,1,-0.0162,-0.01624
re using,1,-0.0163,-0.01627
linux,2,-0.0326,-0.01632
uses,2,-0.0327,-0.01633
again i,1,-0.0163,-0.01635
some kind of,2,-0.0328,-0.01642
to add a,1,-0.0164,-0.01643
they,7,-0.1151,-0.01645
an issue,2,-0.033,-0.01648
it be possible,1,-0.0165,-0.01651
much,7,-0.1158,-0.01655
personal,1,-0.0166,-0.01657
the last,1,-0.0167,-0.0167
read the absolute,1,-0.0167,-0.01672
can,41,-0.6922,-0.01688
libraries and,1,-0.0169,-0.01691
also used,2,-0.0339,-0.01693
systems,1,-0.017,-0.01701
like this if,1,-0.017,-0.01704
the same,8,-0.1368,-0.0171
depends on your,1,-0.0171,-0.01713
there any way,2,-0.0343,-0.01715
documentation,1,-0.0172,-0.01717
looking for the,1,-0.0172,-0.01724
time,10,-0.173,-0.0173
need to create,1,-0.0173,-0.01732
? a,1,-0.0174,-0.01742
the question,7,-0.1221,-0.01744
more details,1,-0.0175,-0.01747
for each,1,-0.0175,-0.0175
opening,2,-0.0351,-0.01756
look it,1,-0.0176,-0.01758
to confirm,1,-0.0176,-0.01763
swap,1,-0.0176,-0.01764
the older,1,-0.0177,-0.01771
an icon,1,-0.0178,-0.01777
so i do,1,-0.0179,-0.01787
question ?,1,-0.0179,-0.01793
a book,1,-0.0179,-0.01794
but you,1,-0.018,-0.01795
where i can,1,-0.0179,-0.01795
that uses,1,-0.018,-0.01796
will,19,-0.3419,-0.01799
app has,1,-0.018,-0.018
pass,2,-0.036,-0.018
syntax,2,-0.0361,-0.01807
have to,5,-0.0905,-0.0181
possible,10,-0.1823,-0.01823
merge,1,-0.0182,-0.01824
have the,3,-0.0548,-0.01826
top of,3,-0.055,-0.01832
the text of,1,-0.0184,-0.01838
text of,1,-0.0184,-0.01838
text of the,1,-0.0184,-0.01838
connect to,1,-0.0185,-0.01845
it work,1,-0.0185,-0.01848
server and,1,-0.0185,-0.01854
be able to,3,-0.0558,-0.01861
be able,3,-0.0558,-0.01861
should not,1,-0.0188,-0.01875
which is the,1,-0.0188,-0.01876
assign,1,-0.0188,-0.01882
to control,1,-0.0188,-0.01882
references,2,-0.0377,-0.01885
works well,1,-0.019,-0.01897
design,1,-0.019,-0.01899
on top of,1,-0.019,-0.01902
do the same,1,-0.019,-0.01904
through,4,-0.0763,-0.01908
that there,2,-0.0383,-0.01915
convention,1,-0.0192,-0.01922
and when,1,-0.0193,-0.01925
data in,1,-0.0193,-0.01928
header,1,-0.0193,-0.01928
on the web,1,-0.0193,-0.01929
win,1,-0.0193,-0.01931
live,3,-0.058,-0.01932
or is,2,-0.0387,-0.01934
i put,1,-0.0193,-0.01935
long,3,-0.0582,-0.01938
now my,1,-0.0194,-0.01938
it does,3,-0.0582,-0.0194
ajax,1,-0.0194,-0.01942
display,1,-0.0194,-0.01942
the use,1,-0.0194,-0.01942
sub,1,-0.0195,-0.01945
is not a,2,-0.039,-0.01948
ssl,1,-0.0195,-0.01948
yeah,2,-0.039,-0.01948
my experience,1,-0.0195,-0.01953
may want,1,-0.0196,-0.01959
may want to,1,-0.0196,-0.01959
for you,1,-0.0196,-0.0196
can be,1,-0.0196,-0.01962
i can add,1,-0.0196,-0.01962
really want to,1,-0.0197,-0.01966
some sample,1,-0.0197,-0.01972
some sample code,1,-0.0197,-0.01972
small,3,-0.0594,-0.01981
when the,2,-0.0397,-0.01984
to find,1,-0.0199,-0.01986
need some,1,-0.0199,-0.01989
suggested,1,-0.0199,-0.01993
the web,1,-0.02,-0.02002
this kind of,1,-0.0201,-0.02006
when the user,1,-0.0201,-0.02006
this kind,1,-0.0201,-0.02006
so that,1,-0.0201,-0.02011
will create,1,-0.0201,-0.02012
script,2,-0.0403,-0.02014
in the question,1,-0.0203,-0.02026
like to be,1,-0.0203,-0.02026
choices,1,-0.0203,-0.02029
the data,2,-0.0407,-0.02036
utf 8,1,-0.0204,-0.02037
grid,1,-0.0204,-0.0204
a class,1,-0.0205,-0.02051
complex,1,-0.0205,-0.02051
using them,1,-0.0206,-0.02063
two,5,-0.1032,-0.02063
get rid of,1,-0.0207,-0.02068
get rid,1,-0.0207,-0.02068
i recommend,1,-0.0207,-0.02068
instance i,1,-0.0207,-0.02072
your example,1,-0.0209,-0.02086
logic,1,-0.0209,-0.02086
becomes an,1,-0.021,-0.02099
unmanaged,2,-0.042,-0.021
if my,1,-0.0211,-0.02107
a program,1,-0.0211,-0.02108
last,2,-0.0422,-0.02109
everywhere,1,-0.0212,-0.02118
access to,2,-0.0428,-0.0214
those two,1,-0.0215,-0.02146
common,2,-0.0432,-0.02158
the website,1,-0.0216,-0.02161
absolute,2,-0.0432,-0.02161
had some,1,-0.0217,-0.02173
location,2,-0.0436,-0.02181
with,40,-0.8751,-0.02188
get the,3,-0.0662,-0.02207
have any,2,-0.0442,-0.02211
only one,3,-0.0667,-0.02222
this case,1,-0.0223,-0.02234
although,2,-0.0449,-0.02245
plans,1,-0.0225,-0.02248
however,3,-0.0674,-0.02248
only works,1,-0.0225,-0.02253
that would,2,-0.0451,-0.02257
anything else,1,-0.0226,-0.02258
doing a,1,-0.0226,-0.02259
and i m,1,-0.0226,-0.02259
an array,2,-0.0452,-0.02259
find this,2,-0.0452,-0.02259
is this correct,1,-0.0226,-0.02265
this correct,1,-0.0226,-0.02265
codes,1,-0.0228,-0.0228
machines,1,-0.0228,-0.0228
in sql server,1,-0.0228,-0.02281
what is happening,1,-0.023,-0.02297
earth,1,-0.023,-0.02297
what should,2,-0.046,-0.02298
well as the,1,-0.023,-0.02298
end of,2,-0.046,-0.023
in both,1,-0.0232,-0.02319
this if you,1,-0.0232,-0.02321
any way,2,-0.0465,-0.02326
to a string,1,-0.0233,-0.02332
send,1,-0.0234,-0.02336
javascript framework,1,-0.0234,-0.02338
the first,5,-0.1172,-0.02344
along with,1,-0.0235,-0.02352
ip,1,-0.0236,-0.02359
likely,2,-0.0472,-0.0236
and many,1,-0.0236,-0.02364
unless you,2,-0.0473,-0.02366
have at,1,-0.0237,-0.02368
operators,1,-0.0237,-0.02369
well as,1,-0.0237,-0.02371
as well as,1,-0.0237,-0.02371
of thing,1,-0.0237,-0.02373
file to,1,-0.0237,-0.02374
know,12,-0.285,-0.02375
is the case,1,-0.0237,-0.02375
sure the,1,-0.0238,-0.0238
better if,1,-0.0239,-0.02387
wcf,1,-0.024,-0.02397
do it with,1,-0.024,-0.02398
for my,2,-0.048,-0.02402
this just,1,-0.024,-0.02402
encryption,1,-0.024,-0.02404
or are,1,-0.0241,-0.02408
is happening,1,-0.0242,-0.02423
parts of,1,-0.0243,-0.0243
very well,1,-0.0243,-0.02433
to assign,1,-0.0243,-0.02434
since the,1,-0.0243,-0.02434
if anyone knows,1,-0.0244,-0.02436
between,3,-0.0731,-0.02436
web app,1,-0.0244,-0.02437
to connect to,1,-0.0245,-0.02447
looking to,1,-0.0245,-0.02453
a long time,1,-0.0245,-0.02453
i know,3,-0.0737,-0.02456
? is there,3,-0.0738,-0.02459
i ve tried,1,-0.0246,-0.02464
issue with,1,-0.0247,-0.02468
watermark,1,-0.0247,-0.02472
need,15,-0.371,-0.02474
net 4,1,-0.0248,-0.02478
let you,1,-0.0248,-0.02481
the class and,1,-0.0249,-0.02485
? when,1,-0.0249,-0.02486
where the,1,-0.0249,-0.02487
on top,1,-0.0249,-0.02488
it cannot,1,-0.025,-0.02496
and you,2,-0.05,-0.02498
maps,1,-0.0251,-0.02505
a case,1,-0.0251,-0.02506
condition,1,-0.0251,-0.02512
or ?,1,-0.0252,-0.02518
seems to,2,-0.0506,-0.0253
the 3,1,-0.0254,-0.02537
and if so,1,-0.0254,-0.02538
know you can,1,-0.0255,-0.02555
i know you,1,-0.0255,-0.02555
used in the,2,-0.0512,-0.02561
only have,1,-0.0257,-0.02565
once,3,-0.0778,-0.02593
start a,1,-0.026,-0.02597
to obtain,1,-0.026,-0.02603
obtain,1,-0.026,-0.02603
see an,1,-0.026,-0.02603
new to,1,-0.0261,-0.0261
means,1,-0.0263,-0.02628
program is,1,-0.0263,-0.02633
how do,4,-0.1056,-0.02639
for a new,1,-0.0264,-0.02644
likely the,1,-0.0265,-0.0265
but can,1,-0.0265,-0.02653
if it,2,-0.0531,-0.02657
same place,1,-0.0266,-0.02659
the same place,1,-0.0266,-0.02659
everything works,1,-0.0267,-0.02668
see your,1,-0.0268,-0.02677
not seem to,1,-0.0269,-0.02691
to tell,1,-0.0269,-0.02691
direct,1,-0.0269,-0.02693
can not seem,1,-0.027,-0.02696
it just,1,-0.027,-0.02701
song,1,-0.027,-0.02703
with that,1,-0.0271,-0.02715
an option,1,-0.0272,-0.02721
official,1,-0.0273,-0.02726
and type,1,-0.0273,-0.02734
possible to,4,-0.1094,-0.02735
been very,1,-0.0274,-0.02738
defined,3,-0.0823,-0.02745
that your,1,-0.0275,-0.02746
many,9,-0.248,-0.02756
the most,1,-0.0276,-0.02757
the application is,1,-0.0276,-0.02765
i have been,1,-0.0277,-0.0277
from that,3,-0.0831,-0.02771
populated,1,-0.0278,-0.02783
wordpress,1,-0.0278,-0.02785
the following,4,-0.1117,-0.02793
details,1,-0.028,-0.02802
now,5,-0.1406,-0.02812
video,1,-0.0281,-0.02813
be possible,1,-0.0282,-0.02819
long time,1,-0.0283,-0.02826
ve tried,1,-0.0283,-0.02832
sort,1,-0.0284,-0.02835
i have an,1,-0.0284,-0.02844
if this is,1,-0.0285,-0.02845
better way to,1,-0.0286,-0.02855
there are,8,-0.2291,-0.02863
suggestions,1,-0.0287,-0.02866
am trying to,1,-0.0288,-0.02877
done,1,-0.0289,-0.02894
skills,1,-0.029,-0.029
parent,1,-0.0291,-0.02911
do,43,-1.2531,-0.02914
know how,2,-0.0583,-0.02914
happens ?,1,-0.0292,-0.02918
can get,1,-0.0293,-0.02933
less than,1,-0.0294,-0.02936
with the,5,-0.1469,-0.02938
it has,2,-0.0588,-0.0294
algorithms,1,-0.0294,-0.02941
updated,1,-0.0296,-0.02959
the entire,2,-0.0594,-0.02971
online,2,-0.0599,-0.02995
all the data,1,-0.03,-0.02998
27,1,-0.03,-0.02998
with some,2,-0.0601,-0.03007
never,3,-0.0903,-0.03011
demo,1,-0.0302,-0.03015
some kind,2,-0.0604,-0.0302
through an,1,-0.0303,-0.03035
c c,2,-0.0607,-0.03037
forgot to,1,-0.0305,-0.03046
bar,1,-0.0305,-0.03052
does this,1,-0.0305,-0.03055
be worried,1,-0.0305,-0.03055
i am trying,1,-0.0306,-0.03056
up,12,-0.3668,-0.03057
has its own,1,-0.0306,-0.03064
the http,2,-0.0613,-0.03064
if you can,1,-0.0307,-0.03067
up in,1,-0.0307,-0.03068
m talking about,1,-0.0307,-0.0307
m talking,1,-0.0307,-0.0307
i m talking,1,-0.0307,-0.0307
tutorial,1,-0.0307,-0.03071
? should,1,-0.0308,-0.03075
data,9,-0.2786,-0.03096
really worry about,1,-0.031,-0.03098
really worry,1,-0.031,-0.03098
a few,1,-0.031,-0.03101
it may be,1,-0.031,-0.03103
which makes,1,-0.0311,-0.03107
which makes it,1,-0.0311,-0.03107
signal,1,-0.0312,-0.03117
through a,1,-0.0312,-0.03119
except,2,-0.0626,-0.03129
a more,1,-0.0314,-0.03137
longer,2,-0.0631,-0.03156
to sql,2,-0.0631,-0.03156
example,9,-0.2845,-0.03161
convert,1,-0.0316,-0.03162
that would make,1,-0.0316,-0.03162
the output is,1,-0.0316,-0.03162
code ?,1,-0.0317,-0.03171
as a,2,-0.0635,-0.03177
d say,1,-0.0318,-0.03178
i d say,1,-0.0318,-0.03178
amazing !,1,-0.0318,-0.03181
little,2,-0.0638,-0.03188
maximum number,1,-0.0319,-0.0319
maximum number of,1,-0.0319,-0.0319
well,4,-0.1279,-0.03197
yes how ?,1,-0.032,-0.03197
client,3,-0.096,-0.032
you can also,3,-0.0962,-0.03205
if i m,1,-0.0321,-0.03211
part of the,2,-0.0643,-0.03217
or is it,2,-0.0644,-0.03219
not this,1,-0.0322,-0.0322
use CODE,1,-0.0322,-0.03221
is the,10,-0.3223,-0.03223
series of,1,-0.0322,-0.03223
a series of,1,-0.0323,-0.03226
you really,4,-0.1292,-0.0323
encoding and,1,-0.0323,-0.0323
implications,1,-0.0323,-0.03234
and you should,1,-0.0324,-0.03244
this if,2,-0.0649,-0.03245
to know if,1,-0.0325,-0.03252
over,2,-0.0651,-0.03256
the production,1,-0.0326,-0.0326
kind,3,-0.0979,-0.03262
see that,1,-0.0326,-0.03264
in web xml,1,-0.0327,-0.03268
s one,1,-0.0327,-0.0327
that will,1,-0.0327,-0.03272
valuable,1,-0.0327,-0.03273
with perl,1,-0.0328,-0.03281
use and,1,-0.0329,-0.03285
URL to,1,-0.033,-0.03301
a function,1,-0.033,-0.03302
latest,1,-0.033,-0.03303
defined by,1,-0.0332,-0.03316
the top,2,-0.0665,-0.03325
specific,1,-0.0333,-0.03327
an email,1,-0.0333,-0.03327
pretty much,1,-0.0333,-0.0333
i load the,1,-0.0333,-0.03331
implements,1,-0.0333,-0.03333
i am looking,1,-0.0334,-0.03344
am looking,1,-0.0334,-0.03344
it s just,1,-0.0335,-0.03348
a series,1,-0.0335,-0.03352
the latest,1,-0.0336,-0.03361
matches,1,-0.0337,-0.03367
of view,1,-0.0338,-0.03376
can add,1,-0.0338,-0.03377
a difference,2,-0.0676,-0.03381
times,1,-0.0338,-0.03381
it in a,1,-0.0339,-0.03386
can i,10,-0.3392,-0.03392
new CODE,1,-0.0339,-0.03392
but no,1,-0.034,-0.03395
edit the,1,-0.0339,-0.03395
twice,1,-0.0342,-0.03423
case of,3,-0.1027,-0.03424
stop it,1,-0.0344,-0.03441
file ?,2,-0.0689,-0.03444
not the,4,-0.1384,-0.0346
because of the,2,-0.0693,-0.03463
could,7,-0.2434,-0.03478
image,2,-0.0697,-0.03484
application is,1,-0.0349,-0.03487
what do,1,-0.0349,-0.03489
cygwin,1,-0.0349,-0.03489
that i,4,-0.1402,-0.03504
take,5,-0.1753,-0.03506
know about,2,-0.0701,-0.03507
the 2,1,-0.0351,-0.0351
internet,2,-0.0702,-0.03511
here is my,1,-0.0351,-0.03514
a common,1,-0.0352,-0.03516
to follow,1,-0.0352,-0.03519
of how,1,-0.0352,-0.03522
need to,11,-0.3881,-0.03528
is started,1,-0.0354,-0.03538
instead of a,1,-0.0355,-0.03553
not seem,1,-0.0356,-0.03558
as long as,2,-0.0712,-0.03559
long as,2,-0.0712,-0.03559
rob,1,-0.0357,-0.03565
parts,1,-0.0358,-0.03578
the example,1,-0.0359,-0.03586
an api,1,-0.0359,-0.03591
instead of,6,-0.2156,-0.03593
points,2,-0.0719,-0.03593
uses to,1,-0.036,-0.03604
multiple,1,-0.036,-0.03605
mvc ?,1,-0.0362,-0.03623
machine,4,-0.1451,-0.03628
can i use,2,-0.0726,-0.0363
playing,1,-0.0364,-0.0364
and see,1,-0.0365,-0.03646
vb,1,-0.0365,-0.03647
first one,1,-0.0365,-0.03648
the first one,1,-0.0365,-0.03648
methods,1,-0.0365,-0.03649
there are many,1,-0.0365,-0.0365
are many,1,-0.0365,-0.0365
thing ?,1,-0.0365,-0.03652
arraylist,1,-0.0367,-0.03666
input,2,-0.0733,-0.03666
as long,2,-0.0733,-0.03666
fit,2,-0.0734,-0.03672
versions,1,-0.0367,-0.03674
web xml,1,-0.0368,-0.03676
the second,2,-0.0736,-0.03679
the malicious,1,-0.037,-0.03698
variables,4,-0.1482,-0.03705
there are no,2,-0.0743,-0.03715
database,6,-0.2232,-0.03721
scripts,2,-0.0746,-0.0373
to the new,1,-0.0374,-0.03736
microsoft,3,-0.1125,-0.03749
your code,3,-0.1125,-0.0375
often,1,-0.0375,-0.03751
experience,3,-0.1126,-0.03753
i make,2,-0.0751,-0.03756
guidance,1,-0.0377,-0.03772
personally,1,-0.038,-0.038
form the,1,-0.038,-0.03801
be very painful,1,-0.0381,-0.03807
book,1,-0.0381,-0.03814
password,1,-0.0381,-0.03815
create a new,2,-0.0764,-0.03822
the service,1,-0.0383,-0.03827
a bit of,1,-0.0383,-0.0383
store,1,-0.0383,-0.03831
double,1,-0.0383,-0.03833
or are they,1,-0.0384,-0.03836
you mean,2,-0.0776,-0.03878
handle,1,-0.0389,-0.03891
not know how,1,-0.039,-0.039
the solution i,1,-0.039,-0.039
in ?,1,-0.039,-0.03902
calls,3,-0.1171,-0.03903
you really hate,1,-0.0391,-0.0391
what are,2,-0.0782,-0.03912
you to,1,-0.0391,-0.03913
assuming,2,-0.0783,-0.03914
interpret,1,-0.0392,-0.03919
added to,1,-0.0394,-0.03941
you will not,1,-0.0394,-0.03943
guessing,2,-0.0795,-0.03976
count,1,-0.0398,-0.03979
be missing,1,-0.0398,-0.03981
i think it,1,-0.0399,-0.03987
beginning,1,-0.0399,-0.03988
us,1,-0.0399,-0.03995
setup,1,-0.04,-0.03996
text,3,-0.12,-0.03998
in rails,1,-0.04,-0.04001
a project,1,-0.0401,-0.04009
connect,1,-0.0402,-0.04017
work in a,1,-0.0402,-0.04019
joel,1,-0.0404,-0.0404
2005,1,-0.0404,-0.0404
profile,1,-0.0405,-0.04046
that in,1,-0.0405,-0.04051
if you have,1,-0.0408,-0.04082
for some,1,-0.0408,-0.04084
is written,2,-0.0818,-0.04092
random,1,-0.0409,-0.04094
do something,1,-0.041,-0.04099
reverse,1,-0.041,-0.041
started the,1,-0.0411,-0.04106
string,5,-0.2056,-0.04112
language ?,1,-0.0412,-0.04116
option on,1,-0.0412,-0.0412
a data,1,-0.0413,-0.04125
that to,1,-0.0413,-0.04126
django,1,-0.0413,-0.04134
ajax calls,1,-0.0414,-0.04142
particular,1,-0.0416,-0.04158
if its,1,-0.0417,-0.04169
to stop,2,-0.0835,-0.04177
in what,1,-0.0418,-0.04182
strings,2,-0.0838,-0.04192
only,11,-0.4614,-0.04194
u,2,-0.0839,-0.04194
depends on,1,-0.0421,-0.04206
why you,2,-0.0842,-0.04211
not you,1,-0.0421,-0.04215
sending,2,-0.0844,-0.04221
a string,3,-0.1268,-0.04228
adapter,1,-0.0423,-0.0423
a standard,1,-0.0424,-0.04239
with a lot,1,-0.0424,-0.04242
and how,1,-0.0424,-0.04243
a nice,1,-0.0424,-0.04245
tools,3,-0.1273,-0.04245
plugins,1,-0.0425,-0.04254
to update,1,-0.0426,-0.04258
product,1,-0.0426,-0.04262
to display,1,-0.0427,-0.04266
CODE and,2,-0.0855,-0.04274
have tried,1,-0.0427,-0.04274
the right,3,-0.1287,-0.0429
text in,1,-0.043,-0.04304
to make,5,-0.2155,-0.04311
can not just,1,-0.0432,-0.04322
simpler,1,-0.0432,-0.04324
that should,2,-0.0865,-0.04325
are really,2,-0.0865,-0.04327
there a,7,-0.3033,-0.04333
to me !,1,-0.0435,-0.04353
without having to,1,-0.0435,-0.04354
confusion,1,-0.0435,-0.04354
does not support,1,-0.0436,-0.04355
i d like,2,-0.0876,-0.04381
end ?,1,-0.0439,-0.04392
your application,4,-0.1759,-0.04399
core,1,-0.0441,-0.04413
would like,2,-0.0884,-0.04418
type,4,-0.1767,-0.04418
of this,2,-0.0884,-0.04419
old question,1,-0.0444,-0.04438
the equivalent,1,-0.0444,-0.04439
third,1,-0.0446,-0.04463
in several,1,-0.0447,-0.04467
of doing it,1,-0.0447,-0.04469
a couple,1,-0.0447,-0.04471
that s the,1,-0.0447,-0.04473
? if yes,1,-0.0449,-0.04487
better in,1,-0.0449,-0.04491
to come,1,-0.045,-0.04505
i forgot,2,-0.0901,-0.04507
additional,1,-0.0452,-0.04517
the end,2,-0.0906,-0.04531
apis,1,-0.0453,-0.04534
for i,1,-0.0454,-0.04538
your app,2,-0.0909,-0.04543
wrote,1,-0.0455,-0.04549
excellent tool,1,-0.0455,-0.0455
chris,2,-0.0911,-0.04556
a new,4,-0.1825,-0.04562
ever,1,-0.0457,-0.04572
once the,1,-0.0458,-0.04581
you are looking,2,-0.092,-0.046
are looking,2,-0.092,-0.046
to get a,1,-0.0461,-0.04609
cases,1,-0.0461,-0.04609
styles,1,-0.0461,-0.0461
ruby,1,-0.0461,-0.04612
you are using,1,-0.0462,-0.04615
date and,1,-0.0463,-0.04634
usage,1,-0.0464,-0.0464
gave,1,-0.0464,-0.04641
